crawl_timestamp,product_name,product_category_tree,retail_price,discounted_price,brand
2016-03-05 01:25:23+00:00,"ezyPRNT ""CV"" Golf Ball -   Size: 4,  Diameter: 4.26 cm","[""Sports & Fitness >> Other Sports >> Golf >> Golf Balls >> ezyPRNT Golf Balls >> ezyPRNT \""CV\"" Golf Ball -   Size: 4,  Diameter: 4...""]",1195,595,ezyPRNT
2016-06-12 08:33:38+00:00,Traditions Printed Protective Men's Gloves,"[""Clothing >> Men's Clothing >> Accessories & Combo Sets >> Gloves >> Traditions Gloves >> Traditions Printed Protective Men's Gloves""]",500,399,Traditions
2016-06-12 08:33:38+00:00,First Choice Cotton Embroidered Diwan Set,"[""Home Furnishing >> Living Room Furnishing >> Diwan Sets >> First Choice Diwan Sets >> First Choice Cotton Embroidered Diwan Set""]",2199,979,First Choice
2016-06-12 08:33:38+00:00,Eccellente Solid Hip Hop Cap,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Swim & Beach Wear >> Eccellente Swim & Beach Wear >> Eccellente Solid Hip Hop Cap""]",899,336,Eccellente
2016-06-12 08:33:38+00:00,Nechams Resin Magnetic Magnetic Melamine Small Whiteboards,"[""Pens & Stationery >> Office Supplies >> Boards & Dusters >> Whiteboards >> Nechams Whiteboards >> Nechams Resin Magnetic Magnetic Melamine Small W...""]",1799,799,Nechams
2016-06-12 08:33:38+00:00,Traditions Printed Protective Men's Gloves,"[""Clothing >> Men's Clothing >> Accessories & Combo Sets >> Gloves >> Traditions Gloves >> Traditions Printed Protective Men's Gloves""]",500,399,Traditions
2016-06-12 08:33:38+00:00,First Choice Cotton Embroidered Diwan Set,"[""Home Furnishing >> Living Room Furnishing >> Diwan Sets >> First Choice Diwan Sets >> First Choice Cotton Embroidered Diwan Set""]",2199,979,First Choice
2016-06-12 08:33:38+00:00,First Choice Cotton Embroidered Diwan Set,"[""Home Furnishing >> Living Room Furnishing >> Diwan Sets >> First Choice Diwan Sets >> First Choice Cotton Embroidered Diwan Set""]",2199,979,First Choice
2016-06-12 08:33:38+00:00,JASPO Thunder Intact Superior Senior Skates Combo (skates+helmet+knee+elbow+bag)suitable for age upto 6 to 14 years Skating Kit,"[""Sports & Fitness >> Other Sports >> Skating >> Kits >> JASPO Kits >> JASPO Thunder Intact Superior Senior Skates Comb...""]",1399,770,JASPO
2016-06-12 08:33:38+00:00,Masaba for Magic fairy Girl's Layered Pink Dress,"[""Clothing >> Kids' Clothing >> Girls Wear >> Dresses & Skirts >> Dresses >> Masaba for Magic fairy Dresses >> Masaba for Magic fairy Girl's Layered Pink Dress""]",1775,1598,Masaba for Magic fairy
2016-06-12 08:33:38+00:00,Momin Libas AK2414 Kashibo Solid Abaya No,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Abayas & Burqas >> Momin Libas Abayas & Burqas >> Momin Libas AK2414 Kashibo Solid Abaya No (Blue)""]",3999,2398,Momin Libas
2016-06-12 08:33:38+00:00,ACM Pouch for Swipe Elite Plus,"[""Mobiles & Accessories >> Mobile Accessories >> Mobile Pouches >> ACM Mobile Pouches >> ACM Pouch for Swipe Elite Plus (Black)""]",990,339,ACM
2016-06-12 08:33:38+00:00,A R ENTERPRISES musical wlking cow,"[""Toys & School Supplies >> Musical Instruments & Toys >> A R ENTERPRISES Musical Instruments & Toys >> A R ENTERPRISES musical wlking cow (Multicolor)""]",999,299,A R ENTERPRISES
2016-06-12 08:33:38+00:00,First Choice Cotton Embroidered Diwan Set,"[""Home Furnishing >> Living Room Furnishing >> Diwan Sets >> First Choice Diwan Sets >> First Choice Cotton Embroidered Diwan Set""]",2199,979,First Choice
2016-06-12 08:33:38+00:00,SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set,"[""Home Furnishing >> Living Room Furnishing >> Diwan Sets >> SANTOSH ROYAL FASHION Diwan Sets >> SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set""]",2199,979,SANTOSH ROYAL FASHION
2016-06-12 08:33:38+00:00,First Choice Cotton Embroidered Diwan Set,"[""Home Furnishing >> Living Room Furnishing >> Diwan Sets >> First Choice Diwan Sets >> First Choice Cotton Embroidered Diwan Set""]",2199,979,First Choice
2016-06-12 08:33:38+00:00,ShoeBuzz Casuals,"[""Footwear >> Men's Footwear >> Casual Shoes >> ShoeBuzz Casual Shoes >> ShoeBuzz Casuals""]",799,247,ShoeBuzz
2016-06-12 08:33:38+00:00,Zed Loafers,"[""Footwear >> Men's Footwear >> Casual Shoes >> Zed Casual Shoes >> Zed Loafers""]",499,499,Zed
2016-06-12 08:33:38+00:00,House This Queen Cotton Duvet Cover,"[""Home Furnishing >> Bed Linen >> Duvet Covers >> House This Duvet Covers >> House This Queen Cotton Duvet Cover (Grey)""]",1160,1160,House This
2016-06-12 08:33:38+00:00,ACM Pouch for Intex Aqua Lions 3g,"[""Mobiles & Accessories >> Mobile Accessories >> Mobile Pouches >> ACM Mobile Pouches >> ACM Pouch for Intex Aqua Lions 3g (Purple)""]",990,339,ACM
2016-06-12 08:33:38+00:00,womaniya Alloy Bracelet,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bracelets >> womaniya Alloy Bracelet""]",2000,1200,womaniya
2016-06-12 08:33:38+00:00,Taj Pearl Alloy Cuff,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bracelets >> Taj Pearl Alloy Cuff""]",665,399,Taj Pearl
2016-06-12 08:33:38+00:00,JASPO Saphire Dual Shoe Skates Combo Size 5 Skating Kit,"[""Sports & Fitness >> Other Sports >> Skating >> Kits >> JASPO Kits >> JASPO Saphire Dual Shoe Skates Combo Size 5 Skat...""]",2299,1270,JASPO
2016-06-12 08:33:38+00:00,Taj Pearl Alloy Cuff,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bracelets >> Taj Pearl Alloy Cuff""]",665,399,Taj Pearl
2016-06-12 08:33:38+00:00,Bento Musical Teddy Bear,"[""Toys & School Supplies >> Musical Instruments & Toys >> Bento Musical Instruments & Toys >> Bento Musical Teddy Bear (Multicolor)""]",199,63,Bento
2016-06-12 08:33:38+00:00,Wake Up Competition Full Sleeve Striped Men's Sweatshirt,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweatshirts >> Wake Up Competition Sweatshirts >> Wake Up Competition Full Sleeve Striped Men's Sw...""]",1495,748,Wake Up Competition
2016-06-12 08:33:38+00:00,Taj Pearl Alloy Cuff,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bracelets >> Taj Pearl Alloy Cuff""]",665,399,Taj Pearl
2016-06-12 08:33:38+00:00,Taj Pearl Alloy Cuff,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bracelets >> Taj Pearl Alloy Cuff""]",665,399,Taj Pearl
2016-04-04 16:06:42+00:00,Cellbazaar Blackberry 8520 WHITE LCD LCD,"[""Cellbazaar Blackberry 8520 WHITE LCD LCD (YIT-562)""]",5000,1000,Cellbazaar
2016-04-04 16:06:42+00:00,Dressberry Gold Synthetic  Clutch,"[""Dressberry Gold Synthetic  Clutch""]",1299,1299,Dressberry
2016-04-04 16:06:42+00:00,Mast & Harbour Black Synthetic  Clutch,"[""Mast & Harbour Black Synthetic  Clutch""]",1899,1899,Mast & Harbour
2016-04-04 16:06:42+00:00,JQR JQR Sports Shoes Running Shoes,"[""Footwear >> Men's Footwear >> Sports Shoes >> JQR Sports Shoes >> JQR JQR Sports Shoes Running Shoes""]",1299,1299,JQR
2016-04-04 16:06:42+00:00,Sisel Printed Poly Cotton Women's Stole,"[""Sisel Printed Poly Cotton Women's Stole""]",299,128,Sisel
2016-04-04 16:06:42+00:00,JQR JQR Sports Shoes Running Shoes,"[""Footwear >> Men's Footwear >> Sports Shoes >> JQR Sports Shoes >> JQR JQR Sports Shoes Running Shoes""]",999,999,JQR
2016-04-04 16:06:42+00:00,"Knight Ace Kraasa Sports Running Shoes, Cycling Shoes, Walking Shoes","[""Knight Ace Kraasa Sports Running Shoes, Cycling ...""]",1299,499,Knight Ace
